"Second","Number of Request"
"0","2555"
"1","4282"
"2","4326"
"3","5330"
"4","4954"
"5","4380"
"6","3868"
"7","4686"
"8","4843"
"9","5194"
"10","3786"
"11","4666"
"12","4735"
"13","4758"
"14","3774"
"15","3059"
"16","4125"
"17","4031"
"18","4521"
"19","5395"
"20","4903"
"21","5242"
"22","4405"
"23","5009"
"24","4089"
"25","4788"
"26","4640"
"27","5176"
"28","4532"
"29","5391"
"30","3813"
"31","5290"
"32","4445"
"33","3957"
"34","3349"
"35","3988"
"36","4539"
"37","5361"
"38","4898"
"39","4123"
"40","4707"
"41","5258"
"42","5128"
"43","4118"
"44","5337"
"45","5170"
"46","4263"
"47","3238"
"48","3180"
"49","4535"
"50","4976"
"51","5065"
"52","5372"
"53","4268"
"54","5381"
"55","5330"
"56","4076"
"57","5320"
"58","4548"
"59","4557"
"60","5261"
"61","4911"
"62","4062"
"63","4343"
"64","4505"
"65","3904"
"66","4537"
"67","3245"
"68","3672"
"69","4927"
"70","5103"
"71","3388"
"72","1809"
"73","1813"
"74","1106"
"75","1210"
"76","2618"
"77","2052"
"78","1780"
"79","3217"
"80","1706"
"81","3157"
"82","2505"
"83","3261"
"84","2962"
"85","2459"
"86","3429"
"87","5245"
"88","4385"
"89","3706"
"90","3212"
"91","5423"
"92","4164"
"93","5149"
"94","4832"
"95","5356"
"96","4741"
"97","4327"
"98","3956"
"99","4525"
"100","5282"
"101","5213"
"102","4998"
"103","4936"
"104","4594"
"105","4646"
"106","3595"
"107","3373"
"108","2373"
"109","3532"
"110","5569"
"111","4566"
"112","5419"
"113","4176"
"114","4976"
"115","4850"
"116","5377"
"117","3013"
"118","104"
"119","67"
"120","71"
"121","26"
